categoria,puntaje,fuente,codigo,nombre,organismo,region,fecha_cierre,monto,moneda,url,razones
servicio,26,licitacion,2770-119-LE26,SERVICIO DE COFFEE BREAK PARA ACTIVIDADES PROTOCOLARES DE LA MUNICIPALIDAD DE MAIPÚ,I MUNICIPALIDAD DE MAIPU,Región Metropolitana de Santiago,2026-08-26T15:00:00,30000000.0,CLP,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2770-119-LE26,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
servicio,26,licitacion,507428-98-LE26,SERVICIO DE SALÓN Y CAFETERIA PARA CAPACITACIÓN APS,SERVICIO DE SALUD CHILOE,Región de los Lagos ,2026-08-31T16:16:00,,CLP,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=507428-98-LE26,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
servicio,20,compra_agil,918434-201-COT26,"D3942 Servicio de Cafetería; Diálogo participativo sobre la Agenda Regional de Igualdad de Derechos y Equidad de Género 2026-2030, Seremi de Atacama",MINISTERIO DE LA MUJER Y LA EQUIDAD DE GÉNERO,Región de Atacama ,2026-08-21 10:30,400000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=918434-201-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,918434-202-COT26,D3948 Adquisición Servicio de cafetería para actividad Clase Magistral entorno a la Mesa de Maternidad de la región de Coquimbo,MINISTERIO DE LA MUJER Y LA EQUIDAD DE GÉNERO,Región de Coquimbo ,2026-08-21 11:30,450000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=918434-202-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,1884-5-COT26,Servicio de Café para 60 personas para la jornada del Área Mujer y Trabajo SernamEG Antofagasta ,SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GENERO,Región de Antofagasta ,2026-08-21 12:00,700000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=1884-5-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,889473-1577-COT26,SC 8641 - Servicio de cafetería y brunch para Jornadas Territoriales PACE,UNIVERSIDAD DE O'HIGGINS,Región del Libertador General Bernardo O´Higgins,2026-08-21 12:10,1523200.0,CLP,https://www.mercadopublico.cl/Home/Search?k=889473-1577-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,1057429-1283-COT26,COFFE BREAK SERVIDO ENTREGA PARCIALIZADA  JORNADA MAÑANA Y TARDE EN Universidad de las Américas sede Chacabuco 539 Concepción. (ADJUNTAR COTIZACION FORMAL E IMAGEN DE SERVICIO OFERTADO),SERVICIO NACIONAL DE SALUD HOSPITAL DE CORONEL,Región del Biobío ,2026-08-21 13:30,700000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=1057429-1283-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,3507-538-COT26,SERVICIO DE CAFETERIA ,Departamento de Salud,Región de los Lagos ,2026-08-21 15:40,270000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=3507-538-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,1058758-155-COT26,SERVICIO COFFE BREAK ESTUDIANTES POSTGRADOS MBA ARICA,UNIVERSIDAD DE TARAPACA,Región de Arica y Parinacota,2026-08-21 17:15,1700000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=1058758-155-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,1368-25-COT26,Servicio de café para Ceremonia de firma del APL Servicios Gastronómicos y Turísticos Barrio del Mar,CORPORACIÓN DE FOMENTO DE LA PRODUCCIÓN - CORFO,Región de Coquimbo ,2026-08-21 17:42,250000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=1368-25-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,754-75-COT26," Lbb-Servicios de amplificación, audio, transmisión e imagen y servicio de cafetería para Cuenta Pública",Secretaría Ministerial de Educación - RM,Región Metropolitana de Santiago,2026-08-21 18:00,900000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=754-75-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,2074-26-COT26,"Servicio de cafetería en Punta Arenas para el 31 de agosto, para 30 personas.",Departamento Provincial de Educación de Magallanes,Región de Magallanes y de la Antártica,2026-08-22 23:00,195000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=2074-26-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,568658-1278-COT26,"COFFEE BREAK, FUC 2-591-1317-26, MAS ADULTO MAYOR AUTOVALENTE, (22-08-012) SERVICIOS DE ALIMENTACIÓN, DIRECC. SALUD, CC: 591-6 (COF)",CORPORACION MUNICIPAL VINA DEL MAR PARA EL DESARROLLO SOCIAL,Región de Valparaíso ,2026-08-24 09:00,2600000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=568658-1278-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,463-56-COT26,"Servicio de cafetería para 20 personas viernes 04/09/26 Providencia, Santiago.",CENTRO DE INFORMACION DE RECURSOS NATURALES,Región Metropolitana de Santiago,2026-08-24 12:00,185000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=463-56-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,918434-210-COT26,D4075 Adquisición de Servicio de cafetería para los Diálogos con las Organizaciones de la Sociedad Civil para el Diseño de las Agendas Regionales de Género de la SEREMI del Ñuble,MINISTERIO DE LA MUJER Y LA EQUIDAD DE GÉNERO,Región del Ñuble,2026-08-24 13:30,150000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=918434-210-COT26,Es un servicio de coffee break o catering
servicio,20,licitacion,707418-37-L126,"SERVICIOS DE COFFEE BREAK, ALMUERZO Y SALON PARA EL DESARROLLO DE LA JORNADA “PLAN DE BIENESTAR Y APOYO EMOCIONAL” PARA FUNDACIÓN INTEGRA, REGION DE COQUIMBO",FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Región de Coquimbo ,2026-08-24T15:00:00,1665100.0,CLP,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=707418-37-L126,Es un servicio de coffee break o catering
servicio,20,licitacion,837-43-LP26,SERVICIO DE SERVICIO DE CAFETERÍA - NUEVO SML ,SERVICIO MEDICO LEGAL,Región Metropolitana de Santiago,2026-08-26T13:22:00,,CLP,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=837-43-LP26,Es un servicio de coffee break o catering
servicio,20,compra_agil,792909-11-COT26,Contratar un servicio de café para la jornada de cierre del Programa de Apropiación Normativa de Educación Parvularia PANEP 2026 de la Superintendencia de Educación Región De Los Lagos a realizarse el,SUPERINTENDENCIA DE EDUCACION ESCOLAR,Región de los Lagos ,2026-08-28 11:23,400000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=792909-11-COT26,Es un servicio de coffee break o catering
